iter	Logloss
0	0.5202079155
1	0.3974531729
2	0.3109733836
3	0.250132307
4	0.2071311268
5	0.1765193052
6	0.1545199661
7	0.1385604784
8	0.1268394336
9	0.1181650631
10	0.1116815377
11	0.106790717
12	0.1030749579
13	0.1002358981
14	0.09805137356
15	0.09635749519
16	0.09504375531
17	0.09401431013
18	0.09320882013
19	0.09257230458
20	0.09207371119
21	0.09166749196
22	0.09135679588
23	0.09110323714
24	0.09090092873
25	0.09073666193
26	0.09061014862
27	0.09050584063
28	0.09042170903
29	0.09035123658
30	0.09029424654
31	0.09024661414
32	0.09020347488
33	0.090172828
34	0.09014451646
35	0.09012045752
36	0.09010074701
37	0.09008156198
38	0.09006937742
39	0.09005412601
40	0.09004519532
41	0.09003053103
42	0.09001865475
43	0.09000963079
44	0.09000266425
45	0.08999077324
46	0.08998226002
47	0.08997607978
48	0.08996794841
49	0.08996305063
50	0.08995439292
51	0.08994819633
52	0.08994124693
53	0.08993431394
54	0.08992497282
55	0.08991854659
56	0.08991266289
57	0.0899067426
58	0.08989776075
59	0.08989077877
60	0.08988501646
61	0.08987752246
62	0.08987092261
63	0.08986449539
64	0.0898604554
65	0.08985522662
66	0.08984926934
67	0.08984456333
68	0.08983586173
69	0.08982910227
70	0.08982007074
71	0.08981336767
72	0.08980237009
73	0.08979550872
74	0.08978914721
75	0.08978095307
76	0.08977359645
77	0.08976842064
78	0.08976288095
79	0.08975692313
80	0.08975183613
81	0.08974427195
82	0.08974111739
83	0.08973907311
84	0.08973362812
85	0.08972786024
86	0.08971950096
87	0.08971200757
88	0.08970710477
89	0.08970112503
90	0.08969466097
91	0.08968708442
92	0.0896823635
93	0.08967738788
94	0.08967447081
95	0.08966915066
96	0.08966828287
97	0.0896612357
98	0.08964971923
99	0.0896424137
100	0.0896348629
101	0.0896258249
102	0.08961993364
103	0.08961238935
104	0.08960555105
105	0.08959873277
106	0.08959706736
107	0.08959181404
108	0.0895869089
109	0.0895820363
110	0.0895730926
111	0.0895670999
112	0.0895619825
113	0.08955519316
114	0.08954123474
115	0.08953699587
116	0.08953100214
117	0.08952554653
118	0.08952087327
119	0.08951095697
120	0.0895049322
121	0.08949933827
122	0.08949185472
123	0.08948525989
124	0.08948149699
125	0.08947862597
126	0.08947215197
127	0.08946734268
128	0.08945732154
129	0.08945036099
130	0.08944066527
131	0.08943075514
132	0.08942118348
133	0.08941610169
134	0.08941087984
135	0.08940293132
136	0.0893939917
137	0.08939015835
138	0.08938042073
139	0.08936910425
140	0.08935768067
141	0.08935138278
142	0.08934154711
143	0.0893343739
144	0.089325206
145	0.08931788265
146	0.08931144554
147	0.08930615896
148	0.08929810331
149	0.08929229617
150	0.08928590365
151	0.08928228447
152	0.08927786078
153	0.08927124435
154	0.08926654215
155	0.08925768989
156	0.08925224366
157	0.08923950274
158	0.08922863846
159	0.08922374302
160	0.08922037733
161	0.08921022227
162	0.08920396941
163	0.08919674465
164	0.08919005178
165	0.08918550688
166	0.08917981681
167	0.08917067602
168	0.08916680237
169	0.08916042657
170	0.08915385542
171	0.0891460948
172	0.08913937924
173	0.08913275358
174	0.08912846116
175	0.08912203505
176	0.08911688084
177	0.089108602
178	0.08909649019
179	0.0890879919
180	0.08908260087
181	0.08907070979
182	0.08905993666
183	0.08905466739
184	0.08904693144
185	0.08904178224
186	0.0890348436
187	0.08902918703
188	0.08902476358
189	0.08901997125
190	0.08901201949
191	0.08900338268
192	0.08899042359
193	0.0889779816
194	0.08896910609
195	0.08896079438
196	0.08895229987
197	0.08895140413
198	0.08894539041
199	0.08893990925
